pair_id,LDP,Comparator,D
PAIR017,0.125,3.6999999999999997,-3.5749999999999997
PAIR016,0.1,3.95,-3.85
PAIR005,0.05,0.05,0
PAIR014,3.05,1.9000000000000001,1.1499999999999997
PAIR012,3.6,3.6999999999999997,-0.09999999999999964
PAIR004,3.95,3.75,0.20000000000000018
PAIR002,3.75,0.825,2.925
PAIR009,3.6,0.75,2.85
PAIR015,2.85,3.6,-0.75
PAIR008,3.85,2.95,0.8999999999999999
PAIR010,0.45,0,0.45
PAIR007,3.55,0.775,2.775
PAIR003,3.3,0.775,2.525
PAIR018,0.05,2.55,-2.5
PAIR001,3.3000000000000003,3.45,-0.1499999999999999
PAIR021,0.05,1.35,-1.3
PAIR011,0.05,0.3,-0.25
PAIR013,0.3,3.9,-3.6
PAIR019,0.625,0.8999999999999999,-0.2749999999999999
