pub_id,pair_id,group
TLL4FA,PAIR017,LDP
YQOMDB,PAIR016,Comparator
QQ86EY,PAIR005,LDP
TYO40B,PAIR014,Comparator
A8AS63,PAIR012,LDP
BRJRAI,PAIR012,Comparator
QEJPFN,PAIR004,Comparator
JWDP8N,PAIR002,Comparator
3KDYC4,PAIR009,LDP
3M7H2G,PAIR002,LDP
V5D7TV,PAIR014,LDP
A415C6,PAIR005,Comparator
AKWYAK,PAIR015,Comparator
NQTETG,PAIR008,LDP
K7BFTR,PAIR015,LDP
QOUIZX,PAIR009,Comparator
W7GLF6,PAIR010,LDP
GFVZEA,PAIR007,Comparator
XMPVDB,PAIR003,LDP
FO2DED,PAIR018,Comparator
LXXDPU,PAIR007,LDP
F75IPQ,PAIR010,Comparator
MJCM5M,PAIR001,Comparator
XPEDN0,PAIR021,LDP
AJCITV,PAIR011,Comparator
0FWV9J,PAIR013,Comparator
A4ZMZ1,PAIR019,LDP
VBVXBA,PAIR013,LDP
R0VDLY,PAIR004,LDP
Y6WJ1C,PAIR016,LDP
BHIRGB,PAIR001,LDP
JH6EM1,PAIR008,Comparator
V0W1WV,PAIR018,LDP
J0CGOY,PAIR003,Comparator
HV8US8,PAIR011,LDP
2OLAHP,PAIR021,Comparator
7XDQWL,PAIR019,Comparator
3ZAMR4,PAIR017,Comparator
