pub_id,JP,DH,JR,SE
TLL4FA,0,0,0.5,0
YQOMDB,4,3.8,4,4
QQ86EY,0,0.2,0,0
TYO40B,0.5,3.4,0.5,3.2
A8AS63,3.6,3.8,3.4,3.6
BRJRAI,3.6,4,3.6,3.6
QEJPFN,4,3.6,3.6,3.8
JWDP8N,0.5,2.3,0,0.5
3KDYC4,3.6,3.8,3.4,3.6
3M7H2G,3.6,3.8,3.8,3.8
V5D7TV,1,3.8,3.8,3.6
A415C6,0,0.2,0,0
AKWYAK,3.6,3.8,3.4,3.6
NQTETG,3.8,4,3.6,4
K7BFTR,1,3.8,3.2,3.4
QOUIZX,1,1,0,1
3ZAMR4,3.8,3.8,3.6,3.6
2OLAHP,2,2.4,1,0
7XDQWL,1.9,1.7,0,0
W7GLF6,1,0.8,0,0
GFVZEA,0,3.1,0,0
XMPVDB,3.2,3.6,3.2,3.2
FO2DED,1,1.8,3.8,3.6
LXXDPU,3.4,3.8,3.4,3.6
F75IPQ,0,0,0,0
MJCM5M,2.2,3.8,3.8,4
XPEDN0,0,0.2,0,0
AJCITV,1,0.2,0,0
0FWV9J,4.4,3.8,3.8,3.6
A4ZMZ1,1,0,0.5,1
VBVXBA,0,0.7,0,0.5
R0VDLY,4,4,3.8,4
Y6WJ1C,0,0.4,0,0
BHIRGB,3.2,3.6,3,3.4
JH6EM1,3.2,2.4,3,3.2
V0W1WV,0,0.2,0,0
J0CGOY,0,3.1,0,0
HV8US8,0,0.2,0,0
